Activity Description,User,Date,Time,Reason for change,Anomaly
User logged into the system,operator1,2024-08-27,08:00:00,Not Available,0
Loaded recipe for batch #001,operator1,2024-08-27,08:05:00,Not Available,0
Initiated pre-operation equipment check,operator1,2024-08-27,08:10:00,Not Available,0
Verified calibration of scales,operator1,2024-08-27,08:15:00,Not Available,0
Started coating process for batch #001,operator1,2024-08-27,08:20:00,Not Available,0
Adjusted inlet air temperature from 146°C to 151°C,operator1,2024-08-27,08:25:00,Not Available,0
Adjusted spray rate from 9 mL/min to 11 mL/min,operator1,2024-08-27,08:30:00,Not Available,0
Performed intermediate quality check,operator1,2024-08-27,08:35:00,Not Available,0
Changed coating solution to type B,operator1,2024-08-27,08:40:00,Not Available,0
Adjusted drum speed from 13 RPM to 16 RPM,operator1,2024-08-27,08:45:00,Not Available,0
Performed final quality check,operator1,2024-08-27,08:50:00,Not Available,0
Stopped coating process for batch #001,operator1,2024-08-27,08:55:00,Not Available,0
Logged out of the system,operator1,2024-08-27,09:00:00,Not Available,0
User logged into the system,operator1,2024-08-27,09:05:00,Not Available,0
Initiated pre-operation equipment check,operator1,2024-08-27,09:10:00,Not Available,1
Loaded recipe for batch #002,operator1,2024-08-27,09:15:00,Not Available,1
Verified calibration of scales,operator1,2024-08-27,09:20:00,Not Available,0
Started coating process for batch #002,operator1,2024-08-27,09:25:00,Not Available,0
Adjusted inlet air temperature from 147°C to 152°C,operator1,2024-08-27,09:30:00,Not Available,0
Adjusted spray rate from 10 mL/min to 12 mL/min,operator1,2024-08-27,09:35:00,Not Available,0
Performed intermediate quality check,operator1,2024-08-27,09:40:00,Not Available,0
Changed coating solution to type C,operator1,2024-08-27,09:45:00,Not Available,0
Adjusted drum speed from 14 RPM to 17 RPM,operator1,2024-08-27,09:50:00,Not Available,0
Performed final quality check,operator1,2024-08-27,09:55:00,Not Available,0
Stopped coating process for batch #002,operator1,2024-08-27,10:00:00,Not Available,0
Logged out of the system,operator1,2024-08-27,10:05:00,Not Available,0
User logged into the system,operator1,2024-08-27,10:10:00,Not Available,0
Loaded recipe for batch #003,operator1,2024-08-27,10:15:00,Not Available,0
Initiated pre-operation equipment check,operator1,2024-08-27,10:20:00,Not Available,0
Verified calibration of scales,operator1,2024-08-27,10:25:00,Not Available,0
Started coating process for batch #003,operator1,2024-08-27,10:30:00,Not Available,0
Adjusted inlet air temperature from 148°C to 153°C,operator1,2024-08-27,10:35:00,Not Available,0
Adjusted spray rate from 11 mL/min to 13 mL/min,operator1,2024-08-27,10:40:00,Not Available,0
Performed intermediate quality check,operator1,2024-08-27,10:45:00,Not Available,0
Changed coating solution to type A,operator1,2024-08-27,10:50:00,Not Available,0
Adjusted drum speed from 15 RPM to 18 RPM,operator1,2024-08-27,10:55:00,Not Available,0
Performed final quality check,operator1,2024-08-27,11:00:00,Not Available,0
Stopped coating process for batch #003,operator1,2024-08-27,11:05:00,Not Available,0
Logged out of the system,operator1,2024-08-27,11:10:00,Not Available,0
User logged into the system,operator1,2024-08-27,11:15:00,Not Available,0
Loaded recipe for batch #004,operator1,2024-08-27,11:20:00,Not Available,0
Initiated pre-operation equipment check,operator1,2024-08-27,11:25:00,Not Available,0
Verified calibration of scales,operator1,2024-08-27,11:30:00,Not Available,0
Started coating process for batch #004,operator1,2024-08-27,11:35:00,Not Available,0
Adjusted spray rate from 12 mL/min to 14 mL/min,operator1,2024-08-27,11:40:00,Not Available,1
Adjusted inlet air temperature from 149°C to 154°C,operator1,2024-08-27,11:45:00,Not Available,1
Performed intermediate quality check,operator1,2024-08-27,11:50:00,Not Available,0
Changed coating solution to type B,operator1,2024-08-27,11:55:00,Not Available,0
